ID,HS_nr,Local_ID,Excavation_field,Bearing_degrees,Sex_estimation,Age_category,Age_years,Stature_cm,Church_distance_m,Easting_UTM32N,Northing_UTM32N
1,3,TX,B,58.8,Female,Adult unsp.,20,154,14.08921144,580197.0450320832,6570826.1453344356
2,5,TX,B,67.4,Male,Adultus,20,167,14.89647971,580198.3951104168,6570824.6551944986
3,6,TX,A,81.7,Male,Maturus,30–50,186,8.518286364,580190.9113777976,6570815.8387688519
4,8,TX,C,58.0,Female,Adult unsp.,20,,24.84355195,580176.5382341712,6570844.5074484814
5,9,TX,C,77.1,Male,Adultus,20,165,20.92907924,580178.0826723624,6570840.8875645511
6,10,TX,C,71.3,Female,Adultus,18–30,,21.48958701,580178.6650015166,6570841.6293328274
7,11,TX,C,23.2,Female,Adultus,18–30,,26.34809293,580172.2183235370,6570844.3760651695
8,13,TX,C,51.0,Female,Adultus,20,,26.09432855,580174.1445944756,6570844.9713957971
9,14,TX,C,45.5,Male,Juvenis,12–18,,25.52079301,580174.1719659986,6570844.3623794094
10,15,TX,C,39.7,Female,Adultus,20,151,25.94149712,580172.7616482708,6570844.1899388134
11,17,TX,C,41.0,Male,Adultus,20,,21.26982784,580179.0078298434,6570841.4883694826
12,18,TX,B,38.5,Male,Adultus,18–30,,20.71326767,580199.7308099864,6570834.2923960583
13,20,TX,B,51.5,Female,Adultus,18–20,,20.53669027,580196.2012520822,6570837.3361094277
14,21,TX,B,58.9,Male,Adultus,20–30,,19.42998832,580195.2021914888,6570836.6928786365
15,22,TX,C,49.8,Female,Adultus,20,,21.38216382,580177.6898910060,6570841.2420257749
16,24,TX,B,65.0,Male,Adultus,25–30,,19.12775006,580195.3089404290,6570836.2439856566
17,28,TX,B,49.5,Female,Adultus,25–30,155,18.36584962,580195.1926114558,6570835.3790455218
18,29,TX,B,43.7,Female,Maturus,30–50,,17.22271319,580195.6250815206,6570833.5259934096
19,31,TX,C,56.0,Female,Maturus,30–50,,25.66337595,580174.8206710962,6570844.7756894091
20,32,TX,C,52.6,Female,Adult unsp.,20,155,25.37416994,580175.1532351020,6570844.5923002027
21,34,TX,C,49.6,Male,Maturus,30–50,166,22.06283806,580178.0457208062,6570842.0563285872
22,36,TX,B,74.8,Female,Adultus,18–30,,20.56431255,580197.6888943630,6570836.1632396635
23,37,TX,B,64.8,Female,Adultus,18–19,,17.9265122,580193.9786844060,6570835.7102409555
24,38,TX,C,84.2,Female,Maturus,30–50,,22.3656497,580177.5051332250,6570842.2137148455
25,47,TX,B,56.9,Female,Maturus,30–50,170,15.03313906,580197.9845518362,6570826.3378589749
26,48,TX,B,52.6,Male,Maturus,30–50,174,16.24219432,580193.9061498696,6570833.6902225483
27,49,TX,B,58.8,Female,Juvenis,15–17,,20.70514004,580199.3462400869,6570834.7166546630
28,50,TX,B,75.4,Male,Adultus,30,170,15.86641624,580193.9814215582,6570833.1523721209
29,56,TX,B,52.0,Male,Maturus,35–40,168,16.71469644,580193.9485757304,6570834.2499701958
30,57,TX,B,61.3,Male,Adultus,18–30,164,18.12170326,580193.6584375858,6570836.1509224772
31,60,TW,C/D,72.3,Male,,,,,580200.0588482198,6570835.4032176025
32,62,TW,C/D,57.5,Female,,,,29.36629603,580199.5670697836,6570835.6944383532
33,63,TX,B,53.1,Female,Adultus,18–20,,18.08067802,580193.3901966594,6570836.2686200272
34,63,TW,C/D,57.1,Male,Maturus,40,170,18.08067802,580199.0615545193,6570835.7480119821
35,64,TW,C/D,45.4,Female,,,,18.18908066,580198.8678652470,6570836.1862167884
36,64,TX,B,44.1,Female,Adultus,20–30,,18.18908066,580193.2861848716,6570836.4574835356
37,65,TW,C/D,62.2,Female,Adultus,30–40 ,,29.53077324,580198.8541284192,6570836.4884270001
38,66,TW,A,56.2,Female,Adultus,25,153,40.56751283,580185.2982832988,6570853.5674250443
39,67,TW,A,47.1,Female,Adultus,25–30 ,157,39.58117713,580184.9548626030,6570852.6140891938
40,68,TX,B,63.4,Female,Adultus,20–30,152,17.29479968,580194.8696274828,6570834.2704988383
41,68,TW,C/D,73.9,Male,Adultus,,,17.29479968,580200.3377058246,6570834.7136288472
42,69,TX,B,51.4,Female,Maturus,30–50,,16.87714126,580194.3632543054,6570834.1391155273
43,72,TW,A,63.7,Female,Maturus,40–50 ,153,39.96278234,580184.4685788980,6570853.0481729526
44,74,TX,B,60.1,Female,Adultus,18–30,,17.10405254,580193.6242231816,6570834.9575240668
45,74,TW,A,60.8,Male,Maturus,,167,17.10405254,580184.0949371812,6570852.4327630661
46,75,TX,B,85.5,Male,Senilis,50–60,170,16.30912457,580195.0557538402,6570832.8088595048
47,76,TX,B,81.8,Male,Maturus,35–40,163,16.16641219,580195.0625967210,6570832.6076788092
48,77,TX,B,64.4,Male,Senilis,50,,16.29958548,580192.5731566944,6570834.6810716828
49,78,TW,C/D,55.6,Male,,,160,,580198.1398133722,6570835.8936223565
50,82,TW,C/D,45.7,Female,Adultus,20–30 ,159,15.75969564,580200.7707593217,6570832.5006258860
51,82,TX,B,69.3,Female,Adultus,20,,15.75969564,580192.2994414634,6570834.2157557905
52,84,TX,B,64.9,Female,Senilis,50,157,15.77746125,580192.7948660316,6570833.9174061902
53,84,TW,A,29.2,Male,Maturus,35–40 ,,15.77746125,580185.6362092632,6570852.4657314532
54,85,TX,B,64.5,Male,Maturus,30–50,165,14.92672865,580198.5029241588,6570824.3548562163
55,87,TX,B,25.8,Male,Senilis,50,,15.92048084,580193.1041642426,6570833.8790860586
56,90,TW,C/D,45.9,Male,Senilis,,169,,580200.9081276002,6570832.3220471237
57,91,TX,B,72.7,Female,Adultus,18–30,,18.65773426,580195.9302740034,6570835.1628104895
58,92,TW,C/D,76.6,Male,Adultus,20–25,167,,580201.5647479702,6570833.1132884081
59,93,TW,C/D,54.5,Female,,,146,28.32471805,580201.4658428098,6570832.4291943815
60,93,TX,C,54.2,Male,Maturus,30–50,183,28.32471805,580176.2330416886,6570845.0316131487
61,94,TX,C,74.4,Female,Maturus,30–50,,25.17162981,580177.0596616862,6570845.0069787782
